year_month,hpi_value
2015-05-01,129.206976675119
2015-06-01,130.773923734465
2015-07-01,131.566614832614
2015-08-01,131.835176086984
2015-09-01,131.022822821832
2015-10-01,129.55750155771
2015-11-01,128.225847405748
2015-12-01,127.357228875588
2016-01-01,127.37645564483
2016-02-01,126.816098728381
2016-03-01,128.322080205996
2016-04-01,130.299102686946
2016-05-01,132.211062889065
2016-06-01,133.512951666924
2016-07-01,134.156044053078
2016-08-01,133.545349218391
2016-09-01,132.523223291804
2016-10-01,130.951664974369
2016-11-01,130.782117128666
2016-12-01,131.346669696252
2017-01-01,131.546913083998
2017-02-01,131.054705812311
2017-03-01,131.903701757083
2017-04-01,132.978847256291
2017-05-01,134.202572240921
2017-06-01,135.288394880639
2017-07-01,135.957096571373
2017-08-01,136.067054296449
2017-09-01,135.136559807424
2017-10-01,133.484017506726
2017-11-01,132.136115102012
2017-12-01,131.350449740437
2018-01-01,131.776694251563
2018-02-01,131.698233596224
2018-03-01,133.351775332688
2018-04-01,134.760128758144
2018-05-01,135.862694420795
2018-06-01,136.971771259031
2018-07-01,137.168274184207
2018-08-01,137.663489658596
2018-09-01,137.135559979824
2018-10-01,136.214268216171
2018-11-01,135.456319880147
2018-12-01,133.990583009073
2019-01-01,133.105706330757
2019-02-01,132.377869707963
2019-03-01,133.690020019381
2019-04-01,135.347876151826
2019-05-01,136.56495142522
2019-06-01,137.719774714412
2019-07-01,137.935791375535
2019-08-01,137.74223728064
2019-09-01,135.80349022091
2019-10-01,134.784036053301
2019-11-01,133.349895205999
2019-12-01,133.325384291222
2020-01-01,131.986684611879
2020-02-01,132.384895444536
2020-03-01,134.893459426581
2020-04-01,136.181336312908
2020-05-01,137.257451561671
2020-06-01,136.566930505945
2020-07-01,138.233445116561
2020-08-01,139.95569064039
2020-09-01,141.608638652637
2020-10-01,142.356553049385
2020-11-01,142.220125119614
2020-12-01,142.196188138246
2021-01-01,142.448867269798
2021-02-01,142.779423227875
2021-03-01,145.761363528509
2021-04-01,148.356304488792
2021-05-01,151.398943195259
2021-06-01,153.904152635475
2021-07-01,155.36506054958
2021-08-01,155.961040919078
2021-09-01,155.929890188468
2021-10-01,155.798983893919
2021-11-01,156.281503565458
2021-12-01,157.170417568452
2022-01-01,158.197956280822
2022-02-01,160.054937620403
2022-03-01,163.120820629983
2022-04-01,166.576097667593
2022-05-01,169.889820956353
2022-06-01,173.140955817189
2022-07-01,174.173689616461
2022-08-01,173.011860381503
2022-09-01,171.279481964362
2022-10-01,170.066394538629
2022-11-01,168.825134898777
2022-12-01,166.50442525914
2023-01-01,165.471790413904
2023-02-01,165.549400064531
2023-03-01,169.050690728994
2023-04-01,172.90868100791
2023-05-01,177.335459087164
2023-06-01,179.818888744002
2023-07-01,181.032728220411
2023-08-01,180.516316791458
2023-09-01,180.656386229763
2023-10-01,180.896211232007
2023-11-01,180.146129741865
2023-12-01,180.016499954384
2024-01-01,178.229152570109
2024-02-01,179.831475697412
2024-03-01,182.809457836597
2024-04-01,187.162089656492
2024-05-01,189.850433331586
2024-06-01,192.12879064371
2024-07-01,192.854994524906
2024-08-01,193.58837257373
2024-09-01,192.888470675368
2024-10-01,191.873024146227
2024-11-01,191.211872648458
2024-12-01,191.742226701118
2025-01-01,192.715865149945
2025-02-01,193.030133273656
2025-03-01,195.774346397615
2025-04-01,198.925834543951
2025-05-01,202.041273734884
2025-06-01,203.968482753988
2025-07-01,204.894534206785
2025-08-01,205.125908534333
